F1,R,P
0.80740833,0.8415613,0.7759194
0.79265815,0.8089693,0.7769918
0.81445867,0.8447567,0.78625876
0.80480826,0.83430856,0.7773229
0.80665565,0.8376148,0.7779034
0.8235095,0.852952,0.7960319
0.80843997,0.833617,0.78473926
0.78410137,0.8112886,0.7586772
0.8035747,0.8202657,0.7875493
0.80478495,0.8225671,0.78775525
0.7901112,0.80770594,0.77326655
0.80063766,0.8276526,0.7753305
0.7971768,0.82450753,0.77159977
0.8057669,0.82693064,0.78565925
0.80433536,0.82665545,0.7831888
0.8171573,0.8409708,0.79465544
0.8049091,0.8331051,0.7785592
0.8300694,0.8598037,0.802323
0.8105358,0.8419182,0.7814089
0.81264085,0.8517052,0.7770027
0.8118501,0.8348798,0.79005677
0.8155263,0.8330319,0.79874134
0.8150105,0.85111475,0.7818446
0.79968077,0.82916003,0.7722257
0.80411416,0.84258676,0.7690015
0.8047225,0.84069425,0.7717029
0.81066585,0.81590486,0.8054937
0.8068031,0.8361638,0.7794342
0.78991014,0.80488974,0.7754779
0.8202909,0.85285646,0.79012096
0.8072202,0.8314631,0.784351
0.8239566,0.8882477,0.76834404
0.8129087,0.8488411,0.77989495
0.8138676,0.8361367,0.792754
0.81294435,0.8199214,0.8060851
0.814708,0.85391504,0.77894324
0.79394656,0.83031607,0.7606294
0.81366944,0.8326415,0.7955426
0.819541,0.84725446,0.793583
0.8159573,0.8491121,0.7852944
0.81808287,0.8378742,0.79920495
0.79700685,0.82054645,0.7747801
0.7948052,0.8037797,0.7860288
0.8019454,0.8215142,0.78328705
0.8374568,0.86421144,0.81230897
0.7901283,0.8221648,0.7604949
0.8277595,0.8592534,0.7984926
0.80194867,0.8495509,0.75939786
0.80063844,0.8311263,0.7723081
0.7933843,0.81246626,0.77517825
0.8092642,0.8333429,0.7865378
0.78878134,0.8270807,0.753872
0.79798645,0.8318715,0.76675385
0.802556,0.82558584,0.780776
0.8257257,0.8455595,0.8068011
0.813882,0.82536834,0.8027109
0.79706305,0.8039973,0.79024744
0.82643324,0.8717276,0.7856133
0.7854874,0.8328266,0.7432405
0.81157124,0.8292648,0.7946169
0.7781792,0.7896141,0.76707083
0.8077064,0.8311707,0.7855307
0.85012585,0.8584589,0.84195316
0.7968881,0.83150864,0.7650353
0.82519656,0.8541852,0.798111
0.8149804,0.83428836,0.7965459
0.7963376,0.8096366,0.78346837
0.7989881,0.83490735,0.7660319
0.82243264,0.86020106,0.7878413
0.7882987,0.8223719,0.75693667
0.79798216,0.81267595,0.78381026
0.79508084,0.8346189,0.75911933
0.7931442,0.82987815,0.75952435
0.80787104,0.8338435,0.78346765
0.8162281,0.81636673,0.8160894
0.81209004,0.8446286,0.7819656
0.81360877,0.84139466,0.7875993
0.8102176,0.8449265,0.77824783
0.78299797,0.81853765,0.7504161
0.79902196,0.8245093,0.77506304
0.7968793,0.83700675,0.7604235
0.816776,0.8419268,0.7930842
0.8237127,0.8486527,0.8001967
0.8057694,0.82862675,0.78413916
0.81683266,0.8168734,0.81679195
0.8079284,0.8228244,0.7935622
0.7991301,0.8322547,0.7685413
0.80964273,0.8436616,0.77826107
0.8058009,0.8246392,0.78780407
0.80896115,0.83689094,0.7828353
0.8181062,0.84085304,0.7965576
0.79843605,0.8307484,0.7685432
0.80904174,0.8374071,0.7825351
0.8087457,0.84098136,0.77889
0.82228804,0.8428242,0.8027287
0.8069851,0.8456822,0.77167445
0.79694927,0.8267533,0.76921934
0.80087286,0.8221799,0.7806422
0.8204558,0.8599918,0.7843951
0.8162729,0.848176,0.78668284
0.814974,0.8390446,0.792246
0.81472045,0.83130807,0.79878175
0.7684912,0.793137,0.745331
0.80832845,0.8380066,0.78068054
0.79780155,0.829646,0.7683113
0.7908713,0.8184637,0.76507884
0.8008684,0.81432223,0.787852
0.7964762,0.8391889,0.75790083
0.8098064,0.82179844,0.7981594
0.8172716,0.83746535,0.79802877
0.7882628,0.8221703,0.75704134
0.7994821,0.8110201,0.7882678
0.80865794,0.84182036,0.7780091
0.815171,0.84220177,0.7898214
0.8054972,0.8054525,0.805542
0.81002766,0.8306712,0.79038537
0.8098711,0.8280302,0.7924913
0.8144786,0.8418921,0.78879404
0.7823728,0.8017941,0.76387
0.81185585,0.83963263,0.78585815
0.80514944,0.8312594,0.7806297
0.8030319,0.83162916,0.776336
0.8060081,0.8306027,0.7828281
0.7859565,0.7926414,0.7793834
0.8010625,0.8421263,0.7638172
0.79845315,0.84072006,0.7602327
0.8006062,0.83545685,0.7685466
0.82108915,0.84733313,0.7964219
0.80420405,0.84869975,0.76414144
0.81430304,0.82861084,0.8004811
0.81307787,0.82983184,0.79698706
0.81350803,0.8180983,0.808969
0.80968845,0.8429006,0.77899444
0.81178397,0.81644017,0.8071806
0.7966225,0.81726515,0.77699697
0.83229935,0.85715824,0.8088417
0.8261345,0.85470665,0.7994109
0.8064388,0.8238574,0.7897415
0.8102756,0.8292966,0.79210776
0.82105714,0.8501117,0.793923
0.80129695,0.83198,0.7727966
0.7870502,0.80972415,0.76561147
0.8222297,0.843633,0.80188555
0.80967116,0.8274908,0.7926028
0.79982364,0.8159349,0.7843363
0.81020087,0.8307145,0.790676
0.8228388,0.8446472,0.80212826
0.8013927,0.83021986,0.7745001
0.80289155,0.8363958,0.7719681
0.8260781,0.8525321,0.80121654
0.78961766,0.80251634,0.77712697
0.81010187,0.8371773,0.78472286
0.8062895,0.8385421,0.776426
0.8138345,0.833525,0.79505277
0.8025883,0.83394015,0.7735084
0.79246145,0.81284124,0.7730786
0.81796026,0.83823365,0.79864454
0.8153924,0.826204,0.8048601
0.80513036,0.8399875,0.77305096
0.80798984,0.83056825,0.78660643
0.80857027,0.83249557,0.78598166
0.7720378,0.80146,0.74469924
0.81513494,0.8260027,0.80454946
0.8073746,0.83109164,0.78497356
0.83556646,0.8723308,0.8017757
0.80033904,0.8260513,0.77617913
0.81492764,0.8439299,0.7878525
0.8067935,0.84720546,0.7700614
0.78433913,0.8232592,0.74893296
0.80251575,0.8436227,0.7652286
0.82503116,0.84406364,0.80683804
0.8148359,0.843976,0.7876408
0.8249078,0.8506577,0.8006709
0.79982704,0.8067374,0.7930341
0.8206414,0.8592058,0.7853901
0.80400366,0.8322994,0.7775686
0.80639744,0.8335636,0.7809462
0.8115327,0.8426328,0.78264654
0.80577236,0.82963413,0.78324485
0.8092451,0.8228932,0.79604226
0.81343234,0.84111077,0.7875175
0.81409484,0.84347665,0.7866912
0.8126598,0.84250784,0.78485423
0.7849516,0.7938516,0.77624905
0.8028217,0.8508375,0.7599358
0.81435996,0.84111124,0.78925794
0.80984634,0.81828064,0.80158406
0.8119322,0.8218682,0.80223364
0.8081509,0.8320835,0.7855565
0.8120434,0.8437321,0.7826489
0.79654837,0.82151103,0.7730581
0.7743064,0.7924632,0.7569631
0.80595976,0.83018595,0.7831074
0.80957055,0.84151006,0.77996683
0.81302464,0.8357535,0.7914992
0.8094577,0.84851176,0.77384055
0.813589,0.8423754,0.786705
0.82179457,0.8514807,0.7941086
0.81005317,0.84766144,0.7756402
0.7816849,0.82056427,0.7463233
0.8224364,0.84846085,0.79796094
0.80537283,0.83805585,0.7751434
0.8138418,0.84329957,0.7863726
0.8189363,0.855146,0.7856684
0.80965596,0.8437555,0.77820545
0.8019655,0.8101114,0.79398185
0.80387187,0.8318306,0.7777315
0.82385504,0.83002543,0.8177757
0.811731,0.8375731,0.7874358
0.8080123,0.8350685,0.78265435
0.82678026,0.87268287,0.78546524
0.8195366,0.8488554,0.7921756
0.8220508,0.8619346,0.7856947
0.805775,0.82671726,0.7858676
0.80634737,0.82879263,0.7850858
0.78847545,0.8117942,0.766459
0.7931668,0.81859255,0.76927304
0.8040916,0.8188938,0.7898149
0.813999,0.8352595,0.7937939
0.79764706,0.82571167,0.77142763
0.8012461,0.8258183,0.7780939
0.8087163,0.8151071,0.8024249
0.80625165,0.8241972,0.78907084
0.81527,0.8406241,0.7914005
0.81522936,0.84456867,0.78786004
0.7952699,0.8196291,0.7723168
0.7944225,0.81442666,0.77537745
0.7965943,0.796072,0.79711735
0.79229254,0.83045685,0.75748175
0.8046463,0.8281947,0.7824001
0.8036166,0.8358933,0.7737398
0.8087286,0.8391696,0.78041875
0.81619626,0.85844547,0.77791065
0.80366594,0.84216994,0.76852876
0.8246845,0.8426839,0.80743796
0.80894935,0.8435357,0.77708745
0.8114354,0.83843917,0.78611684
0.816613,0.8547779,0.78171057
0.8115788,0.8437253,0.781792
0.80241996,0.83443326,0.7727722
0.78537124,0.81396747,0.7587161
0.7911794,0.80858326,0.77450913
0.81979066,0.86452436,0.7794585
0.8223389,0.8560828,0.79115415
0.80149806,0.8170028,0.78657097
0.81401527,0.83843315,0.79097944
0.8114072,0.8392392,0.785362
0.7995599,0.82647717,0.7743407
0.78846884,0.8214568,0.758028
0.8102686,0.8331951,0.78856987
0.82118344,0.86083347,0.7850251
0.791637,0.80569166,0.7780643
0.8103517,0.82616377,0.79513353
0.81513095,0.83274513,0.7982465
0.82574964,0.8396607,0.81229204
0.82398665,0.858222,0.79237795
0.8093952,0.8396286,0.7812634
0.80960566,0.81936055,0.8000803
0.81807745,0.8407156,0.79662645
0.8222274,0.85622275,0.79082847
0.8060094,0.8267473,0.7862864
0.8249832,0.8408527,0.8097016
0.8037709,0.8069311,0.80063546
0.807197,0.83438957,0.78172094
0.82497066,0.8563161,0.79583895
0.81083107,0.8313834,0.7912705
0.8150723,0.8341508,0.79684705
0.7983924,0.8177245,0.77995324
0.81945515,0.8374336,0.8022325
0.8047688,0.8291847,0.7817496
0.8284403,0.86118925,0.798091
0.800783,0.81892717,0.78342545
0.800293,0.8146046,0.78647566
0.8215188,0.82447374,0.81858504
0.81050307,0.838141,0.7846296
0.8146761,0.8653646,0.7695971
0.8032692,0.83158284,0.7768201
0.8403223,0.8906332,0.7953915
0.80976236,0.852401,0.7711863
0.80313694,0.82732904,0.78031945
0.8031923,0.843193,0.76681495
0.8181447,0.8425988,0.79506993
0.79356146,0.7997301,0.7874872
0.80766416,0.8301621,0.78635347
0.79754734,0.8197505,0.77651525
0.80993384,0.82921064,0.791533
0.80912524,0.8419349,0.77877676
0.8085844,0.83598715,0.7829212
0.799483,0.82382095,0.7765418
0.8078232,0.83240855,0.7846484
0.8108808,0.83839756,0.78511286
0.8105489,0.8405072,0.7826527
0.8132656,0.8361569,0.7915943
0.8173306,0.8476619,0.789095
0.7928726,0.8072651,0.7789843
0.8033816,0.8394509,0.77028424
0.80223745,0.8322144,0.77434504
0.80849516,0.83721983,0.7816762
0.812165,0.8312475,0.793939
0.8069015,0.82181954,0.7925154
0.7979525,0.81470215,0.78187764
0.80828184,0.8397767,0.779064
0.8042474,0.83389133,0.7766386
0.78720456,0.82267606,0.7546655
0.82761663,0.85354125,0.8032204
0.8171086,0.84355575,0.7922694
0.8110876,0.84780675,0.7774171
0.8094771,0.8424426,0.77899444
0.80525494,0.8313372,0.7807595
0.80317056,0.8210464,0.78605646
0.7964166,0.8241421,0.7704958
0.82055694,0.8760266,0.77169365
0.8119129,0.8334744,0.7914388
0.8195405,0.84754413,0.7933282
0.81961536,0.8487915,0.7923784
0.815073,0.8317332,0.79906714
0.8063848,0.84227216,0.7734307
0.79815286,0.8277842,0.7705697
0.8077537,0.83905673,0.77870226
0.8254137,0.8702955,0.78493404
0.80423844,0.82858783,0.78127927
0.8146368,0.8397907,0.79094607
0.80994964,0.8293354,0.7914494
0.8189337,0.844973,0.7944515
0.8191654,0.84595084,0.79402405
0.80085653,0.8204153,0.7822086
0.8187694,0.85072345,0.7891289
0.80205107,0.7989929,0.8051327
0.79562753,0.82393813,0.76919776
0.8065131,0.8163541,0.7969066
0.81894666,0.84675235,0.7929091
0.8205987,0.83519244,0.8065063
0.81653696,0.8451592,0.78979
0.8109148,0.82868326,0.79389244
0.82021004,0.84958315,0.79280007
0.79124796,0.8112656,0.7721943
0.81467575,0.8560511,0.7771156
0.82325333,0.85293823,0.7955652
0.8338,0.8430799,0.8247222
0.78585535,0.80486214,0.7677256
0.80791414,0.84269094,0.775894
0.80294645,0.8086049,0.7973667
0.79357684,0.82100046,0.767926
0.8079002,0.8371208,0.7806508
0.81576973,0.8381177,0.79458266
0.821818,0.84530395,0.79960185
0.80931216,0.8320429,0.7877905
0.80689377,0.8223642,0.7919947
0.80933183,0.8429687,0.7782764
0.8056321,0.83820534,0.77549577
0.8026865,0.83906245,0.7693335
0.80746055,0.8292638,0.7867744
0.8002041,0.8331643,0.7697526
0.8091006,0.8304654,0.7888076
0.7958966,0.81733716,0.77555215
0.7837886,0.82047135,0.7502456
0.81415623,0.85068625,0.7806344
0.82060295,0.8549139,0.78893983
0.8052274,0.82275563,0.7884305
0.8086663,0.8117096,0.80564576
0.801116,0.84324944,0.7629926
0.82210034,0.84063786,0.8043628
0.82102084,0.8349614,0.80753803
0.81092113,0.84293115,0.7812534
0.8213226,0.8425698,0.8011206
0.7964611,0.82419705,0.7705311
0.8003471,0.83722675,0.76657945
0.81142396,0.8342365,0.789826
0.8131637,0.8341657,0.79319334
0.8199849,0.83816814,0.8025739
0.8035381,0.83890146,0.7710355
0.8131441,0.84627956,0.78250563
0.80028355,0.8255405,0.77652615
0.80124193,0.83898485,0.7667486
0.80828947,0.84093547,0.77808344
0.80701935,0.8396971,0.77678967
0.78754556,0.8069089,0.76908976
0.8104264,0.8417944,0.7813122
0.8155621,0.8596144,0.77580494
0.7875493,0.8239095,0.7542628
0.7940216,0.8156065,0.77354985
0.8072474,0.82251346,0.79253775
0.78725606,0.81409585,0.7621296
0.7960458,0.8107807,0.781837
0.7829131,0.8121785,0.7556834
0.8058609,0.8359506,0.777862
0.7939959,0.8195378,0.76999795
0.8208212,0.85324675,0.79076993
0.7697787,0.7957076,0.7454864
0.8056702,0.83121943,0.78164464
0.7875554,0.8158145,0.7611884
0.8139901,0.8394497,0.7900294
0.80753946,0.8410027,0.7766373
0.8131143,0.8500429,0.77926075
0.8038325,0.81098664,0.7968035
0.7979535,0.82618135,0.7715908
0.8188918,0.8410832,0.7978413
0.81618124,0.83672893,0.7966186
0.7834796,0.80807424,0.7603378
0.80447465,0.8298258,0.78062654
0.8032355,0.82257277,0.7847866
0.8129388,0.82887614,0.7976029
0.8127691,0.81887317,0.8067555
