F1,R,P
0.8259567,0.8554851,0.7983988
0.8268075,0.8312092,0.8224521
0.801158,0.8033917,0.7989367
0.8345765,0.84319794,0.82612956
0.8349861,0.8385883,0.83141464
0.82036287,0.82446915,0.8162974
0.819278,0.8313913,0.80751264
0.82500595,0.822242,0.8277886
0.8250486,0.825113,0.82498425
0.81775707,0.8231788,0.8124063
0.839528,0.84081113,0.83824885
0.81981647,0.8273033,0.81246406
0.816154,0.82591116,0.8066246
0.8160607,0.81616485,0.81595653
0.8155985,0.82469565,0.8066999
0.8196037,0.82659036,0.81273425
0.8270467,0.83286417,0.8213098
0.8285153,0.83089095,0.82615316
0.8342569,0.86511946,0.80552053
0.8308538,0.8405584,0.8213709
0.83393794,0.8308656,0.83703303
0.82873064,0.82967407,0.8277893
0.8279771,0.8365896,0.81954026
0.8156954,0.807275,0.8242933
0.8435687,0.86967796,0.81898147
0.8124536,0.81343484,0.8114747
0.82083535,0.82783633,0.81395173
0.8218306,0.81467396,0.8291141
0.8463666,0.85192263,0.84088254
0.7858798,0.79232955,0.7795342
0.82887685,0.834331,0.82349354
0.82921535,0.84038144,0.81834203
0.86343306,0.90570986,0.824927
0.833798,0.8435336,0.8242847
0.8262313,0.82877994,0.8236983
0.8201812,0.8351989,0.8056939
0.8286247,0.83352154,0.82378495
0.84800345,0.84900594,0.8470032
0.8329668,0.83796364,0.8280293
0.8150034,0.8122977,0.817727
0.83540684,0.85200566,0.8194424
0.8300504,0.8315785,0.8285279
0.8159788,0.81369704,0.81827354
0.8089336,0.81177914,0.80610806
0.8235591,0.82574975,0.82138014
0.8043445,0.80435663,0.8043324
0.79226977,0.8030752,0.7817513
0.81032413,0.83806103,0.78436446
0.8150427,0.8300348,0.8005824
0.80106735,0.8084263,0.7938411
0.8219201,0.82926124,0.8147078
0.84144944,0.8384902,0.8444296
0.8133978,0.8143821,0.81241596
0.8104103,0.81203234,0.8087948
0.8101913,0.81566125,0.8047941
0.83439314,0.83525693,0.833531
0.81729084,0.82494485,0.8097775
0.81710225,0.81705946,0.817145
0.85186833,0.8804508,0.82508326
0.795125,0.80379367,0.78664136
0.8230589,0.8211301,0.8249968
0.80845594,0.80051714,0.8165538
0.82233644,0.820969,0.82370853
0.8221743,0.822645,0.82170415
0.80606973,0.80591935,0.8062203
0.81866944,0.83129746,0.8064195
0.808167,0.8150913,0.8013594
0.82102525,0.8207307,0.82132006
0.8240304,0.82131517,0.8267637
0.8292873,0.8409847,0.8179108
0.8124673,0.8140368,0.8109038
0.8063417,0.8132509,0.799549
0.8335765,0.8371206,0.83006227
0.82342386,0.8433429,0.8044241
0.7929852,0.7973826,0.78863597
0.81931806,0.8252111,0.8135085
0.82146615,0.822714,0.82022214
0.8125873,0.82007587,0.8052343
0.827204,0.8279836,0.8264258
0.8009896,0.7984557,0.8035396
0.8113574,0.8147098,0.8080325
0.82614106,0.8291108,0.8231926
0.8265271,0.8195763,0.83359677
0.82816374,0.83404624,0.8223636
0.82597995,0.8252029,0.8267586
0.8193088,0.8153869,0.82326865
0.8205304,0.8339493,0.8075365
0.8372286,0.8425547,0.8319694
0.81707937,0.8177418,0.816418
0.81879413,0.8081598,0.8297121
0.82032627,0.8232027,0.81746984
0.82732266,0.8315249,0.82316256
0.812791,0.82585895,0.8001302
0.8224022,0.81893384,0.8259001
0.82202,0.8332328,0.81110495
0.83302146,0.86055636,0.807194
0.81437004,0.8281596,0.8010322
0.8131867,0.821281,0.8052505
0.81577283,0.8111818,0.82041603
0.8313872,0.85996205,0.8046504
0.83180684,0.8292395,0.83439004
0.8247452,0.828887,0.8206446
0.82050776,0.8207274,0.8202883
0.8121908,0.809314,0.81508815
0.8156128,0.8184227,0.8128222
0.8192366,0.8172483,0.8212345
0.81976944,0.8244019,0.81518865
0.8281124,0.83251274,0.8237585
0.8037089,0.8167908,0.79103947
0.8368961,0.84066665,0.8331592
0.82574224,0.8274496,0.82404184
0.82374233,0.82382333,0.8236613
0.8312497,0.8319253,0.8305753
0.8123893,0.80449647,0.8204385
0.8405329,0.8467312,0.8344246
0.80707437,0.81036127,0.8038139
0.81911385,0.83703554,0.8019435
0.8292929,0.83480847,0.8238496
0.82303697,0.8321655,0.8141065
0.81971735,0.8269834,0.81257796
0.8098032,0.80693424,0.81269264
0.81483203,0.8225935,0.80721563
0.8363126,0.8367273,0.8358982
0.8413472,0.8373375,0.8453954
0.8278129,0.8242816,0.8313746
0.80970705,0.8250251,0.79494756
0.8061022,0.8162726,0.79618216
0.83309674,0.83432066,0.8318764
0.8196384,0.8157804,0.82353306
0.8225664,0.83345395,0.81195956
0.8276695,0.8281269,0.82721263
0.8195522,0.8301333,0.80923736
0.83660376,0.8359471,0.8372615
0.82438,0.82891214,0.81989706
0.8234466,0.8332566,0.8138648
0.8099107,0.8018667,0.81811786
0.83374095,0.83837676,0.829156
0.8278022,0.8379916,0.81785744
0.81801397,0.8201385,0.8159003
0.8284614,0.83635014,0.8207201
0.8178273,0.82747346,0.80840343
0.81412834,0.8243281,0.80417794
0.80928355,0.82066107,0.7982173
0.82608086,0.8501701,0.8033192
0.8314769,0.84211445,0.82110476
0.7953571,0.7853675,0.80560416
0.8122541,0.82215685,0.80258703
0.82644856,0.83116513,0.82178533
0.8162046,0.82666177,0.8060088
0.79451704,0.78995293,0.79913414
0.81447214,0.82023907,0.80878586
0.8164353,0.8196234,0.8132718
0.835128,0.83766294,0.8326083
0.82002467,0.8350015,0.80557567
0.82650214,0.8324167,0.82067096
0.8088295,0.8167612,0.80105036
0.8029268,0.81206626,0.79399073
0.815339,0.8299727,0.80121255
0.83511686,0.8428383,0.8275356
0.82077646,0.81525636,0.8263719
0.81903636,0.8241505,0.81398535
0.8320066,0.8329768,0.8310386
0.79709405,0.81899035,0.77633804
0.8238296,0.82804346,0.81965834
0.8154099,0.82100874,0.8098869
0.85252106,0.86877644,0.83686286
0.81664646,0.81812465,0.8151737
0.81723845,0.8238865,0.8106968
0.807664,0.81411815,0.8013114
0.79386663,0.79533035,0.7924084
0.8074005,0.8070013,0.8078002
0.8271177,0.8240018,0.83025736
0.8248394,0.8308324,0.8189323
0.83072793,0.84898543,0.81323916
0.8182004,0.81751364,0.8188883
0.8242965,0.8468323,0.802929
0.8230257,0.8202615,0.8258087
0.819031,0.8283763,0.8098942
0.8205622,0.8238659,0.8172848
0.8100915,0.80897117,0.8112149
0.8154582,0.8258053,0.8053671
0.8238827,0.82908404,0.8187462
0.807045,0.82013935,0.7943623
0.8359211,0.8402002,0.83168536
0.8054773,0.8100795,0.80092704
0.8092326,0.8144367,0.80409455
0.8273472,0.8352415,0.8196007
0.8309171,0.8289394,0.8329044
