F1,R,P
0.8072098,0.81049126,0.80395484
0.7950082,0.798803,0.79124933
0.8430923,0.85221446,0.83416337
0.8176801,0.82430077,0.811165
0.8142853,0.82059246,0.80807424
0.80838966,0.81576777,0.8011439
0.81915164,0.8179257,0.8203813
0.8173231,0.8191302,0.81552404
0.8241955,0.8315301,0.8169892
0.8177613,0.82573044,0.8099445
0.82146907,0.823167,0.8197781
0.8050565,0.8070303,0.80309224
0.81644934,0.8211333,0.81181854
0.8211893,0.81759584,0.82481456
0.82759047,0.82926434,0.8259233
0.8181535,0.8155575,0.82076615
0.8326852,0.84715056,0.81870544
0.8426498,0.8651207,0.8213167
0.80535895,0.8095178,0.80124265
0.8274943,0.8317636,0.82326865
0.82557374,0.8366842,0.8147545
0.8341423,0.83485174,0.8334341
0.8100931,0.8143422,0.80588806
0.8318107,0.85079986,0.8136506
0.8032207,0.80987686,0.79667294
0.79513645,0.8014561,0.78891563
0.82243425,0.82035947,0.8245196
0.8341632,0.8382488,0.83011717
0.8061894,0.8011645,0.81127775
0.82894504,0.8347786,0.82319236
0.8338805,0.84031385,0.8275448
0.82362944,0.8659346,0.78526545
0.8245769,0.82882845,0.82036877
0.82072407,0.82153964,0.8199102
0.82360196,0.83824754,0.80945927
0.8164939,0.8236098,0.8094999
0.82797986,0.83445066,0.82160866
0.82213324,0.8276181,0.8167206
0.8046068,0.8096384,0.7996373
0.82779044,0.8480985,0.8084323
0.82954794,0.8329962,0.826128
0.80095434,0.8034446,0.7984794
0.8180445,0.81681275,0.8192799
0.8187371,0.81754595,0.81993186
0.8119519,0.81573176,0.80820686
0.7855385,0.79590654,0.775437
0.84358007,0.8542736,0.833151
0.81787044,0.8298292,0.80625135
0.79580426,0.8031992,0.7885443
0.82284653,0.82835996,0.8174059
0.8247276,0.82673216,0.82273275
0.7956201,0.7976109,0.7936391
0.81815255,0.82270706,0.8136482
0.8187634,0.8272766,0.8104236
0.8173,0.81858647,0.8160177
0.8277405,0.8341512,0.8214275
0.8251351,0.82550585,0.82476467
0.8554137,0.8811173,0.8311671
0.8020516,0.81108385,0.7932183
0.8234478,0.82332224,0.8235735
0.8061053,0.8010667,0.8112076
0.82207763,0.8239229,0.8202407
0.819437,0.818767,0.82010806
0.81310785,0.8154423,0.81078655
0.8288509,0.8356488,0.82216287
0.81766546,0.8222352,0.8131461
0.82099265,0.8220005,0.81998724
0.821099,0.81770486,0.8245215
0.8333376,0.8397507,0.8270218
0.79618275,0.7967254,0.7956408
0.82434183,0.828392,0.820331
0.8056702,0.8133895,0.7980962
0.80420417,0.8132182,0.79538786
0.8030139,0.80103254,0.8050052
0.82020724,0.82543963,0.8150407
0.81669825,0.8175715,0.81582683
0.80438626,0.80610985,0.80267006
0.8209506,0.828262,0.81376725
0.7819615,0.78831714,0.77570754
0.8030069,0.80751157,0.79855216
0.82227355,0.8301083,0.8145853
0.8245899,0.8220954,0.82709956
0.82349324,0.830375,0.81672454
0.82859385,0.8324782,0.8247456
0.79310155,0.7898135,0.7964172
0.82636464,0.8317456,0.82105285
0.8319406,0.8375156,0.8264394
0.8145374,0.8219568,0.8072507
0.80947423,0.80651283,0.8124575
0.81669337,0.820826,0.8126022
0.82276976,0.8271258,0.81845945
0.8005762,0.8093296,0.7920101
0.8222793,0.8246547,0.81991744
0.83052254,0.83326685,0.82779634
0.8190176,0.8363247,0.8024123
0.8229784,0.8352891,0.81102526
0.8018881,0.8101742,0.79376984
0.8134061,0.81121314,0.81561095
0.82915896,0.83693236,0.8215286
0.8217572,0.823306,0.8202142
0.8049213,0.8016188,0.8082512
0.827748,0.8277095,0.82778645
0.7891862,0.79381853,0.7846076
0.8107274,0.8106323,0.81082255
0.81767887,0.8202041,0.8151691
0.8310339,0.83194137,0.8301284
0.8377273,0.8413708,0.83411527
0.78972006,0.79843414,0.7811941
0.82951385,0.83674914,0.8224026
0.83204705,0.8340125,0.83009076
0.81590754,0.82277626,0.8091526
0.83525413,0.8398952,0.83066416
0.8267639,0.82977986,0.8237699
0.83386403,0.8403574,0.8274702
0.8051388,0.8092451,0.801074
0.8133509,0.81838286,0.8083805
0.8307385,0.83606994,0.82547456
0.80477744,0.81242514,0.7972723
0.806074,0.8118436,0.8003859
0.81676847,0.8139208,0.8196362
0.8130604,0.82886153,0.7978505
0.81835026,0.8263342,0.8105191
0.8191897,0.8096896,0.82891536
0.8262156,0.8306005,0.8218768
0.7842599,0.79275745,0.77594244
0.8201839,0.8274776,0.81301755
0.82597035,0.8271897,0.82475466
0.83202624,0.83723,0.82688665
0.8219566,0.82796425,0.8160355
0.828227,0.83345056,0.8230685
0.83042604,0.83673525,0.8242112
0.83039385,0.8297787,0.83101004
0.81445426,0.8200944,0.8088911
0.82743233,0.83435094,0.8206274
0.81898427,0.82575154,0.812327
0.830618,0.83501905,0.82626307
0.82046735,0.8269256,0.81410927
0.81934226,0.8215227,0.81717336
0.8334258,0.8398484,0.8271008
0.8169338,0.81640667,0.81746167
0.79621637,0.8015071,0.790995
0.79197425,0.7943442,0.7896183
0.8218646,0.83286995,0.81114626
0.8356775,0.84024876,0.83115566
0.79198617,0.79036075,0.7936183
0.8017681,0.80408466,0.799465
0.8103866,0.81201833,0.80876124
0.82493633,0.83076644,0.81918746
0.80604,0.81064093,0.80149096
0.8158841,0.8197187,0.81208515
0.81362253,0.8097707,0.8175112
0.8298878,0.8316389,0.828144
0.82204396,0.8300975,0.81414515
0.8316773,0.8383092,0.82514954
0.8073973,0.80650455,0.8082919
0.80313843,0.80333745,0.80293953
0.8352287,0.8474676,0.8233383
0.84092927,0.84407294,0.83780885
0.82569104,0.82698536,0.8244007
0.8239931,0.82613623,0.8218611
0.8087365,0.81880563,0.7989119
0.786109,0.80071384,0.7720273
0.8244705,0.8306473,0.81838495
0.82088107,0.82512856,0.8166771
0.8221511,0.8295511,0.8148821
0.8275037,0.8314347,0.8236096
0.81790096,0.82120407,0.8146243
0.7942037,0.7986369,0.78981936
0.79560196,0.7986183,0.7926084
0.80759656,0.81352454,0.8017544
0.8235305,0.83154637,0.81566775
0.82229173,0.8284755,0.81619966
0.8257418,0.8313208,0.8202372
0.8147482,0.8192464,0.8102991
0.8330258,0.8479184,0.81864744
0.82158643,0.82849294,0.8147942
0.8059847,0.80500823,0.80696344
0.81347287,0.8110573,0.8159029
0.80103457,0.80631196,0.79582584
0.82518846,0.83122396,0.8192399
0.80306274,0.8059239,0.8002219
0.8070375,0.81152654,0.80259776
0.816719,0.8177837,0.8156571
0.8233593,0.8225411,0.82417905
0.8220123,0.82615227,0.8179138
0.8268638,0.8315503,0.82222974
0.81917,0.82569504,0.81274724
0.8098016,0.80465907,0.81501025
0.8246091,0.82783437,0.82140887
0.8246091,0.82783437,0.82140887
0.8339567,0.8388531,0.82911724
0.8063477,0.8106593,0.80208176
0.82497716,0.8284884,0.82149565
0.83166176,0.83368075,0.82965255
0.8133462,0.81272435,0.81396896
0.8140142,0.82777876,0.80069995
0.8345985,0.8413103,0.82799304
0.8201069,0.82596016,0.81433606
0.8126687,0.81725323,0.8081353
0.7904026,0.80548775,0.7758721
0.8144462,0.82320946,0.80586755
0.8295218,0.83646095,0.8226966
0.83277255,0.8375471,0.8280521
0.8419355,0.85179555,0.8323012
0.8256466,0.8291121,0.8222099
0.8165422,0.822047,0.8111106
0.8265859,0.8270927,0.8260796
0.82309383,0.82736087,0.81887054
0.8214316,0.82364595,0.819229
0.81437457,0.82700074,0.802128
0.8419321,0.85271245,0.8314209
0.8184972,0.8323685,0.80508065
0.82731146,0.8355099,0.81927234
0.81720954,0.8174974,0.81692195
0.8139013,0.82417107,0.80388427
0.7970043,0.78615296,0.8081594
0.8242558,0.822444,0.82607555
0.80832785,0.8071159,0.80954343
0.8249452,0.8330074,0.8170375
0.81912684,0.8236199,0.8146826
0.80763406,0.80527914,0.8100028
0.83320564,0.83731097,0.82914037
0.82128364,0.8285339,0.8141593
0.833233,0.83743995,0.829068
0.82370603,0.8243754,0.8230377
0.83094454,0.8302938,0.83159643
0.7990196,0.8057358,0.7924143
0.81675744,0.8247808,0.8088887
0.79660434,0.80133945,0.7919249
0.81090105,0.8145078,0.80732614
0.8193101,0.82193273,0.8167042
0.8262967,0.82691395,0.8256802
0.82255393,0.81787187,0.8272899
0.81984544,0.8252388,0.81452215
0.80164796,0.8017628,0.8015332
0.8197721,0.82249206,0.8170702
0.8277371,0.8323462,0.82317877
0.8167173,0.81621057,0.8172247
0.8084789,0.8130193,0.80398905
0.80887735,0.81547123,0.80238926
0.7950897,0.79584193,0.79433894
0.814934,0.8158556,0.8140144
0.81887126,0.82894856,0.809036
0.82804483,0.8321986,0.82393235
0.8021979,0.8063798,0.79805917
0.819984,0.82155025,0.8184238
0.8235013,0.83007246,0.8170334
0.80327284,0.80737853,0.79920876
0.8089232,0.81765676,0.80037427
0.81593686,0.81562096,0.81625307
0.8202449,0.82055175,0.8199383
0.78342515,0.7942883,0.77285516
0.8281906,0.83602285,0.8205038
0.81618357,0.82566434,0.8069181
0.81566596,0.81756485,0.8137759
0.81821126,0.82388866,0.8126116
0.8198369,0.82316184,0.8165387
0.81836057,0.82170206,0.8150462
0.82037485,0.8261351,0.8146944
0.8283281,0.83258206,0.82411736
0.8179871,0.81750375,0.81847095
0.81975627,0.82218826,0.81733876
0.8133002,0.81165326,0.8149539
0.8041756,0.8067068,0.8016603
0.82804793,0.8301076,0.82599854
0.80917525,0.81219316,0.80617964
0.8166821,0.8174242,0.8159413
0.81003755,0.81354415,0.8065611
0.826392,0.82694656,0.8258382
0.79144764,0.79610807,0.7868414
0.8177748,0.8235446,0.81208515
0.8054903,0.8097135,0.801311
0.81228065,0.8164823,0.8081221
0.8302247,0.83907086,0.8215632
0.82843417,0.8343375,0.8226138
0.8332946,0.8593202,0.80879915
0.8094945,0.8173406,0.80179757
0.85840726,0.9154335,0.8080691
0.8135893,0.81720924,0.81000125
0.8253697,0.8306283,0.8201773
0.80464065,0.8151097,0.79443717
0.8120728,0.8163885,0.80780244
0.81140465,0.80660695,0.8162598
0.81257546,0.8178494,0.80736905
0.8238064,0.8285528,0.819114
0.8137715,0.809735,0.81784844
0.82655466,0.83100325,0.82215333
0.8165638,0.8204582,0.8127062
0.81183726,0.8049014,0.8188937
0.8288981,0.8344585,0.82341135
0.81702125,0.82208014,0.81202424
0.8308921,0.83166325,0.83012235
0.82351196,0.828584,0.81850165
0.8128788,0.8192326,0.80662274
0.8254008,0.829534,0.82130855
0.8283811,0.835601,0.821285
0.7969959,0.8021976,0.7918612
0.840184,0.84760374,0.83289313
0.823931,0.8273485,0.8205416
0.8235166,0.83239657,0.81482416
0.8104922,0.8163244,0.8047428
0.81568253,0.8203405,0.8110771
0.81921065,0.82228076,0.81616336
0.781723,0.80337423,0.7612081
0.8325431,0.8377605,0.82739025
0.82934266,0.83595824,0.822831
0.8425967,0.8534681,0.8319987
0.82570904,0.83816624,0.81361675
0.83347183,0.84153366,0.82556295
0.8230486,0.8329317,0.8133972
0.83375216,0.8412652,0.826372
0.8329245,0.8410505,0.82495403
0.83644843,0.8505205,0.8228344
0.82230145,0.8215412,0.8230632
0.8334744,0.84266794,0.8244792
0.82543,0.8295512,0.8213495
0.79347515,0.8073255,0.7800921
0.8201747,0.8268435,0.81361264
0.8234126,0.8294555,0.8174571
0.8113351,0.8108556,0.81181514
0.82318187,0.8252326,0.82114136
0.8254557,0.8265883,0.82432616
0.8006063,0.8028809,0.7983447
0.82895094,0.8368089,0.8212391
0.8355087,0.8407558,0.8303267
0.81851184,0.8228823,0.8141875
0.82492906,0.8358946,0.8142475
0.8057931,0.8110881,0.8005668
0.8057931,0.8110881,0.8005668
0.8378576,0.8430731,0.83270615
0.8283998,0.8290674,0.8277332
0.8200329,0.8344038,0.80614865
0.82346225,0.82872593,0.81826496
0.843753,0.8514702,0.8361744
0.80624455,0.8132931,0.7993172
0.81688774,0.81785643,0.81592137
0.80878997,0.81449306,0.80316615
0.81559473,0.816417,0.81477416
0.81734383,0.82215476,0.81258893
0.82863796,0.83164895,0.82564867
0.8195558,0.8242116,0.8149524
0.79414046,0.79490614,0.79337627
0.8121314,0.8122556,0.81200737
0.82893866,0.83212197,0.8257797
0.8257551,0.8294368,0.82210606
0.8348922,0.8380363,0.8317716
0.8083301,0.80802625,0.80863416
0.8348147,0.8426323,0.827141
0.81442344,0.8193887,0.80951804
0.82124835,0.8250799,0.8174524
0.82268286,0.8372057,0.8086553
0.8199571,0.82650095,0.8135161
0.8068313,0.81780994,0.79614353
0.80608857,0.8136997,0.7986185
0.8256683,0.8265395,0.8247988
0.80693686,0.81717753,0.79694974
0.8294771,0.8347918,0.8242296
0.83046544,0.8399315,0.82121027
0.80342126,0.80559015,0.80126405
0.81828135,0.82087326,0.8157058
0.80497444,0.81350976,0.79661644
0.8359353,0.861006,0.8122833
0.80547863,0.8049828,0.8059751
0.8316095,0.8412297,0.82220685
0.83222234,0.8347568,0.82970315
0.8067382,0.80681986,0.8066565
0.8123048,0.82266146,0.8022057
0.82431287,0.8321201,0.81665087
0.8263081,0.8345867,0.8181921
0.8244063,0.8312815,0.817644
0.8278684,0.83464545,0.8212006
0.82720727,0.8399813,0.8148159
0.81642765,0.8202818,0.81260943
0.8054316,0.8137648,0.7972674
0.8279073,0.827769,0.82804567
0.8159617,0.83055395,0.8018734
0.8228518,0.82602775,0.8197003
0.8273681,0.8330878,0.8217263
0.82158357,0.82641995,0.81680346
0.8188486,0.82355845,0.8141923
0.7959958,0.79690635,0.79508734
0.8366406,0.8398489,0.8334568
0.82208025,0.82689357,0.81732255
0.80370826,0.80418116,0.80323595
0.79139346,0.80136514,0.781667
0.81874496,0.8249211,0.81266075
0.81591094,0.81433535,0.81749266
0.83146167,0.8333198,0.8296119
0.77848035,0.78274775,0.77425915
0.81318235,0.8195213,0.8069407
0.79364586,0.81493706,0.77343893
0.82396007,0.8292537,0.8187335
0.8028161,0.8075497,0.79813766
0.830458,0.83313257,0.82780063
0.81863725,0.8177458,0.8195306
0.8154143,0.8112668,0.8196044
0.81543666,0.8182044,0.81268746
0.82727057,0.83131087,0.8232694
0.7915308,0.7938105,0.7892641
0.7979601,0.79949385,0.7964322
0.8096747,0.8108146,0.80853784
0.81954324,0.81896687,0.82012045
0.82695806,0.82823896,0.82568115
0.8256999,0.83015525,0.8212922
0.8156453,0.81975883,0.81157273
0.8207438,0.8214382,0.8200504
0.79960775,0.80506516,0.7942238
0.8281868,0.8333819,0.8230561
0.82586384,0.83378005,0.81809646
0.81985885,0.8224953,0.8172392
0.8309051,0.8361609,0.82571495
0.827054,0.8368585,0.81747663
0.81251067,0.8178432,0.80724716
0.8288423,0.8280764,0.8296096
0.80408096,0.809012,0.7992096
0.8239883,0.8266339,0.82135963
0.823003,0.834058,0.81223726
0.8336877,0.8449283,0.8227422
0.8151012,0.8207849,0.8094957
0.8269692,0.8325879,0.8214258
0.8060471,0.80974245,0.80238533
0.8289516,0.832667,0.8252692
0.82246387,0.8325074,0.8126598
0.84264326,0.86166817,0.82444024
0.8268467,0.83839595,0.8156113
0.83238846,0.8362226,0.8285894
0.81191677,0.8219523,0.80212337
0.79985917,0.80424297,0.795523
0.82213134,0.8192048,0.82507896
0.8023195,0.8042933,0.8003554
0.8023195,0.8042933,0.8003554
0.8097818,0.8130224,0.8065669
0.82017785,0.8204786,0.8198773
0.7996266,0.80930716,0.79017484
0.8211022,0.8236915,0.8185291
0.82421124,0.82943165,0.81905615
0.8025703,0.8091321,0.7961141
0.8241529,0.8321473,0.8163105
0.83891284,0.84678435,0.8311863
0.8119892,0.81677216,0.8072619
0.79134893,0.8056565,0.7775407
0.79992235,0.7985753,0.80127394
0.8176654,0.81295913,0.8224265
0.8128393,0.8142489,0.8114346
0.81138206,0.8144884,0.8082993
0.82933336,0.828483,0.8301855
0.8091484,0.81472343,0.80364907
0.82779586,0.8303139,0.82529294
0.82293,0.8301068,0.8158762
0.83881426,0.8436743,0.8340099
0.81334674,0.8139982,0.8126962
0.7962605,0.80518794,0.78752875
0.82095677,0.822601,0.8193191
0.80731523,0.817857,0.79704183
0.82367903,0.8247329,0.82262784
0.8104491,0.81810707,0.8029331
0.8104491,0.81810707,0.8029331
0.81385595,0.81681216,0.8109211
0.83431584,0.8503665,0.81885993
0.83174634,0.836273,0.8272684
0.8280292,0.82917464,0.8268869
0.80659384,0.81169367,0.80155766
0.8275304,0.8301693,0.82490814
0.82352495,0.8312211,0.8159701
0.8235961,0.8412013,0.80671275
0.81489563,0.8249841,0.8050509
0.8077673,0.82719314,0.789233
0.8393656,0.8450258,0.83378077
0.81339616,0.81141007,0.815392
0.82477504,0.82635784,0.8231983
0.8208332,0.8218759,0.81979334
0.81818193,0.8188581,0.81750685
0.8270044,0.83200866,0.82206
0.8284391,0.8341394,0.82281613
0.824836,0.82380813,0.8258665
0.7965219,0.79810697,0.7949431
0.82160836,0.831723,0.81173676
0.81494987,0.8260927,0.8041038
0.82720435,0.8273212,0.8270875
0.8213439,0.831416,0.81151295
0.82051504,0.8231665,0.8178807
0.81058276,0.8072116,0.8139821
0.8215681,0.82585466,0.8173259
0.7996746,0.80215394,0.79721045
0.8135504,0.81949246,0.80769396
0.8039958,0.830286,0.77931935
0.8211353,0.8284382,0.8139601
0.8337911,0.84357923,0.8242276
0.8144664,0.8233034,0.805817
0.8078728,0.8085843,0.80716264
0.8347191,0.83820707,0.83125997
0.7945363,0.7971012,0.7919878
0.811394,0.8141189,0.8086873
0.8304383,0.83578146,0.8251632
0.81758255,0.8228027,0.81242824
0.8035116,0.8054573,0.8015753
0.80639535,0.80860376,0.8041991
0.8215645,0.8220363,0.82109326
0.8112341,0.8098217,0.8126514
0.81135684,0.8148649,0.8078789
0.8193255,0.83193046,0.8070967
0.8091751,0.8102743,0.80807877
0.8167365,0.8223549,0.8111944
0.8108063,0.8171878,0.8045236
0.824281,0.8328048,0.81592983
0.8114857,0.8098503,0.8131279
0.8200661,0.8239729,0.81619614
0.81229085,0.8172935,0.8073491
0.81590474,0.8184289,0.81339616
0.81028086,0.8316663,0.7899677
0.82257503,0.8306637,0.8146424
0.81554085,0.8179065,0.81318873
0.8309906,0.8340838,0.8279204
0.8153841,0.82461476,0.80635774
0.8272695,0.8312265,0.82335
0.78753364,0.79724467,0.7780563
